name,price,store,url
Xiaomi 11 Lite 5G NE 8/128Gb Розовый,29 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/xiaomi/smartfon_xiaomi_11_lite_5g_ne_8_128gb_rozovyy_x35740-2858644.html
Xiaomi 11T 8/128Gb Белый,39 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/xiaomi/smartfon_xiaomi_11t_8_128gb_belyy_x35036-2857250.html
Xiaomi 11T 8/256Gb Голубой,44 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/xiaomi/smartfon_xiaomi_11t_8_256gb_goluboy_x35037-2857254.html
OPPO A16 3/32GB синий,12 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/oppo/smartfon_oppo_a16_3_32gb_siniy_opp_2269.3_32.bl-2859880.html
Samsung Galaxy A03 Core 32GB Черный,8 490 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/samsung/smartfon_samsung_galaxy_a03_core_32gb_chernyy_sm_a032fzkdser-2916401.html
Apple iPhone 12 128GB Зелёный,69 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/apple/smartfon_apple_iphone_12_128gb_zelenyy_mgjf3ru_a-2328474.html
ITEL A25 Синий,4 490 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/itel/smartfon_itel_a25_siniy_itl_a25_grsbl-2344155.html
Apple iPhone 11 128 GB Белый,54 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/apple/smartfon_apple_iphone_11_128_gb_belyy_mhdj3ru_a-2405206.html
Apple iPhone 11 64 GB Белый,49 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/apple/smartfon_apple_iphone_11_64_gb_belyy_mhdc3ru_a-2407190.html
Samsung Galaxy S21 Ultra 5G 512GB Черный Фантом,114 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/samsung/smartfon_samsung_galaxy_s21_ultra_5g_512gb_chernyy_fantom_sm_g998bzkhser-2444857.html
